,month,month_full,year,no_of_rainy_days,total_rainfall,mean_relative_humidity,mean_sunshine_hrs,mean_surface_temp,wet_bulb_temperature
0,1982-01-01,Jan,1982,10,107.1,81.2,5.6,25.9,23.45604838709677
1,1982-02-01,Feb,1982,5,27.8,79.5,7.6,27.1,24.297619047619047
2,1982-03-01,Mar,1982,11,160.8,82.3,5.1,27.2,24.811559139784944
3,1982-04-01,Apr,1982,14,157.0,85.9,4.7,27.0,25.10375
4,1982-05-01,May,1982,10,102.2,83.2,5.8,28.0,25.689650537634407
5,1982-06-01,Jun,1982,8,59.5,80.3,7.3,28.4,25.729305555555552
6,1982-07-01,Jul,1982,8,76.3,77.6,7.6,28.2,25.107258064516127
7,1982-08-01,Aug,1982,11,169.5,80.4,5.4,27.7,25.02755376344086
8,1982-09-01,Sep,1982,9,54.1,80.6,5.2,27.9,25.243055555555557
9,1982-10-01,Oct,1982,10,39.3,81.5,5.6,27.4,24.90067204301075
10,1982-11-01,Nov,1982,13,134.0,83.4,5.8,27.3,25.068888888888885
11,1982-12-01,Dec,1982,21,494.1,87.7,3.3,26.2,24.621639784946236
12,1983-01-01,Jan,1983,18,246.0,85.6,4.3,26.5,24.554973118279573
13,1983-02-01,Feb,1983,2,5.6,78.0,9.3,28.1,24.97440476190476
14,1983-03-01,Mar,1983,2,18.6,76.0,8.9,28.9,25.439247311827955
15,1983-04-01,Apr,1983,4,33.6,77.2,6.6,29.4,26.09347222222222
16,1983-05-01,May,1983,11,160.8,83.2,5.9,28.3,25.95685483870968
17,1983-06-01,Jun,1983,11,94.0,82.4,5.9,28.3,25.872500000000002
18,1983-07-01,Jul,1983,18,190.0,83.7,5.4,27.6,25.422043010752688
19,1983-08-01,Aug,1983,10,262.2,81.2,6.3,28.1,25.54959677419355
20,1983-09-01,Sep,1983,18,170.8,84.4,3.8,27.2,25.13722222222222
21,1983-10-01,Oct,1983,17,212.7,82.5,5.2,27.6,25.239247311827956
22,1983-11-01,Nov,1983,18,228.8,85.2,3.2,26.6,24.687638888888888
23,1983-12-01,Dec,1983,16,370.6,88.0,2.7,25.4,23.882526881720427
24,1984-01-01,Jan,1984,18,251.2,85.8,4.1,25.5,23.667876344086025
25,1984-02-01,Feb,1984,19,470.4,86.0,4.1,25.8,24.00991379310345
26,1984-03-01,Mar,1984,19,361.3,85.4,5.3,26.5,24.6002688172043
27,1984-04-01,Apr,1984,17,153.1,83.8,6.2,27.3,25.178472222222222
28,1984-05-01,May,1984,12,186.5,84.1,6.4,27.3,25.15645161290323
29,1984-06-01,Jun,1984,14,255.0,83.1,5.4,27.5,25.2575
30,1984-07-01,Jul,1984,12,127.2,83.7,5.7,27.2,24.984274193548387
31,1984-08-01,Aug,1984,13,102.7,84.1,6.0,27.4,25.241935483870968
32,1984-09-01,Sep,1984,17,186.7,83.9,4.9,26.8,24.65791666666667
33,1984-10-01,Oct,1984,11,187.5,82.5,5.3,27.4,25.00712365591398
34,1984-11-01,Nov,1984,17,127.7,86.3,4.3,26.5,24.650138888888886
35,1984-12-01,Dec,1984,22,277.4,86.7,3.3,26.0,24.245833333333334
36,1985-01-01,Jan,1985,7,111.1,81.5,8.7,26.6,24.091129032258063
37,1985-02-01,Feb,1985,11,79.3,84.0,6.5,27.0,24.892857142857142
38,1985-03-01,Mar,1985,13,88.0,83.9,5.6,27.1,24.92822580645161
39,1985-04-01,Apr,1985,14,110.5,83.8,5.5,27.5,25.28291666666667
40,1985-05-01,May,1985,12,70.1,83.4,5.7,28.0,25.736962365591395
41,1985-06-01,Jun,1985,14,37.0,79.4,5.8,28.2,25.32333333333333
42,1985-07-01,Jul,1985,17,131.8,83.1,5.3,27.0,24.738575268817204
43,1985-08-01,Aug,1985,11,56.9,80.4,6.2,27.7,25.07983870967742
44,1985-09-01,Sep,1985,18,110.7,83.1,5.0,26.9,24.693055555555556
45,1985-10-01,Oct,1985,21,169.0,84.7,4.1,26.7,24.6747311827957
46,1985-11-01,Nov,1985,21,179.4,85.0,4.1,26.6,24.571805555555557
47,1985-12-01,Dec,1985,22,340.1,86.2,4.6,26.1,24.273118279569893
48,1986-01-01,Jan,1986,13,308.2,83.9,3.9,25.7,23.615591397849464
49,1986-02-01,Feb,1986,2,26.7,78.4,7.2,26.9,23.99955357142857
50,1986-03-01,Mar,1986,17,353.4,86.6,4.6,26.4,24.6747311827957
51,1986-04-01,Apr,1986,14,150.0,85.3,6.2,27.4,25.42013888888889
52,1986-05-01,May,1986,13,145.1,81.8,6.1,28.2,25.686155913978496
53,1986-06-01,Jun,1986,13,122.9,82.5,6.8,27.9,25.542222222222225
54,1986-07-01,Jul,1986,12,109.7,79.9,6.2,27.9,25.11209677419355
55,1986-08-01,Aug,1986,11,72.9,77.3,5.6,28.3,25.126478494623655
56,1986-09-01,Sep,1986,22,396.0,84.4,4.8,26.7,24.64486111111111
57,1986-10-01,Oct,1986,20,227.3,85.0,5.0,26.9,24.90537634408602
