,level_0,index,lemmatized,label
0,0,1149,game beginning far time dedication point year training recently started training high level black belt guy squeeze ever felt discouraging much inspiring lack better word obtain type squeeze soon mount try use technique head arm fight breathes squeeze dominates technique strength guy straight brazil definitely advantageous genetics dna Brazil,bjj
1,1,688,let u face fighter tough good boxing rather let fighter sustain damage alter career prevent leading comfortable life ref call tko end fight tko watch limb destroyed watch match family come view poll,bjj
2,2,222,standard practice always given quite bit leeway student especially come asking clean return class say need cancel membership entirely due affording given month free discounted rate without batting eye good partner rather train especially passionate training brown belt however major problem past year canceled membership said going open school back week later never signed back keep promising bring cash make mind first brown belt gone pretty far stolen drink cooler foam roller rash guard school shirt month membership add total yesterday open mat tap training go getting black belt bitch kind ticked told tradition asshole give blackbelt someone support gym need square give shit pouted stormed suggestion deal guy,bjj
3,3,348,hey moving plovdiv bulgaria saw school located lucas lepri victory raider thrace experience school give recommendation gi nogi training good atmosphere comeptitiv spirit need translator necessarily,bjj
4,4,1227,partner gym old gym become pretty obvious last grading people getting graded differently come beginner fundamental class compete getting stripe sometimes faster come advanced class compete stripe group student come time week come time week always seems beginner hobbyist graded faster heard coach say privately higher belt grade people beginner hobbyist faster progress beginner class advanced class compete win wanted common thing gym separate hobbyist competitor grading progressing people differently depending compete common post taking account gym favourite whole different thing,bjj
5,5,431,curious keto requires low carbs lt g thus class zero energy roll crash hard eat bunch carbs class energy roll kicked ketosis figure optimal balance ideal source quick energy carbs long class consume thinking_face,bjj
6,6,721,looking gi funky fun design suggestion appreciated,bjj
7,7,582,every competition super anxious ruining record white belt kind irrational love compete professionally day every competition find question matter loss point affect becoming professional future,bjj
8,8,61,must messing practically everything love hear fundamental thing wrong,bjj
9,9,184,specifically fireman balance job getting hurt miss damn much occasionally jump open mat afford sprain ankle tweak knee thing done stay top training mitigate stuff come along training aware softest take possible love job put line hobby love,bjj
10,10,965,curious non judo influenced sport approach breakfalls ukemi,bjj
11,11,1245,may common story thing stopped commiting suicide training month honestly life changing first started lowest point life girl loved manipulating cheating mental health completely control destroying personal professional life bad put loaded shotgun mouth fully prepared end came breaking point decided focus nothing except training honestly changed life given something forward daily basis helped change outlook world finally admitted mental health control help never done without changed life thank practice sport fucking love,bjj
12,12,370,suck bench might add another chest day remove ab oblique think work enough thought keep ab day improve chest,bjj
13,13,1128,damaged sport watch training recommend heart rate sensor belt another solution seems polar brand might option appreciate advice based usage device,bjj
14,14,1496,recommendation nogi short velcro panel enclosure wearing lxbs piece looking brand similar,bjj
15,15,1358,searching training partner blue belt level northern germany open personal trainer least purple belt level,bjj
16,16,653,usually around holiday take break january first break give self time spend family recover typically train time week amp c kind forward time year since spend every minute family whatever well january came along went back training feeling excitement reason went back come time practice week felt chore top coach talk goal year competing basically felt bullshitting interest back since back little voice telling need anymore training jazz since felt way,bjj
17,17,1312,treating lotrimin thigh going away sure near ankle going clinic tomorrow experience lesion,bjj
18,18,643,bulk kg lb wish come close cca kg lt lb quite tall cm bulk maintaining muscle athleticism sport,bjj
19,19,1371,many bad experience unwashed penis rolling something community need work,bjj
20,20,788,last night morning fell asleep guess training bit much yesterday lifted hour day running judo amp week open mat lifted twice feel train good amount motivation wreck havoc sleep sometimes turn ruin recovery obviously worst thing shitty sleep train even though feel could make worse vicious loop feel session per week absolute maximum least focused drilling especially amp c work top understand wrong natural limit done bloodwork level quite lower side sure result training lot producing enough low test symptomps though doubt issue live quite healthy life gt disturbance sleep believed key symptom overreaching overtraining may direct result increased training load indirect alteration training scheduling recommend smoking weed,bjj
21,21,481,first class tomorrow told show class tomorrow gym legging however pair jean cargo pant effective allowed gym wear,bjj
22,22,849,common topic always discussed brand new purple belt used teain time week curious often guy train every week year compete local jjwl na f grappling industry f tournament challenge inspirwe daughter train competes lot yr old compete lot couple local tournament white belt blue belt master world blue belt year challenge whilst full time employer husband father two curious much training guy per week maybe idea work around schedule advance fellow practitioner,bjj
23,23,1285,hour nice train even yell people traffic deep still jerk though,bjj
24,24,1306,listen music time usually mumble rap metal depending instructor climb rank charge music playlist day enjoy hall oates radio,bjj
25,25,460,list best mean large team gracie barra one affiliate school unless state hq certain academy talent educate,bjj
26,26,984,access killer mentality lot fighter feel always holding back obviously gym keep hold order avoid injuring training partner competition though first comp felt resistance mean even guy willing hurt could flip switch activate full aggression mode else dealt,bjj
27,27,1328,worse case sandbagging ever seen tournament knew someone club another local club,bjj
28,28,718,trying find old gi match andre cross choke huge borderline nalati sized guy guard hopefully someone know match talking,bjj
29,29,1593,say felt hand shoulder someone immediately felt might threat reaction shoulder throw invert leg scream terror,bjj
30,30,285,sign respect testament work craig put incredible power ride stand,bjj
31,31,1138,chatting someone match seen recently twitter remember seen someone leg broken horrible heel hook someone gym said heard double leg break mean wtf true leg broken,bjj
32,32,1188,discussion day gym due personally pay gym due steady supply roll view poll,bjj
33,33,837,hello going currently australia whv goal combine farmwork people similar experience even professor received student happy tip,bjj
34,34,1474,wanted many guy regular physio training couple small injury turf toe light sprain etc wondering worth paying physio check ups every often benefit offer,bjj
35,35,1352,else keep getting asked wrestled high school training month since day started maybe people ask rolling wrestled high school first took compliment never wrestled properly wrestled dad cousin growing lot teaching shoot anything lol mainly grabbing shifty unders every time someone asks feel similar sometimes people tell new spazzy white belt super strong maybe turn cheer apology typo part make sense ate edible hour ago made paranoid people think lmao,bjj
36,36,1549,train x week always hard training usually come home around pm training take shower etc eat problem start main meal e g chicken filet salad fruit salad example bed lay kitchen take piece homemade cake eat popcorn calm record overweight fact could say underfed taking consideration height,bjj
37,37,891,always wanted join local gym bad newcomer currently weighing kg much bigger guy gym,bjj
38,38,501,advice rolling guy much heavier rolled last night kept knee belly long enough tap simply cuz could breathe best advice tip rolling someone significant weight difference,bjj
39,39,1426,new white belt use gym time productively towards newfound hobby,bjj
40,40,71,made mistake eating big meal hour last night session worst session life kind food eat training day time use dextrose powder anything eat training,bjj
41,41,1100,description match able watch guy keep rolling,bjj
42,42,1621,heard repeated going completely getting choked eventually make vulnerable choke next time getting choked brain recognize happening allow sleep even faster wanted data support bro science,bjj
43,43,366,find spaced repetition learning incredibly effective remember chess opening think transpose nicely learning move sequence picture make certain move check recall specific sequence software use spaced repetition learning learning move,bjj
44,44,954,background white belt love training great strength cardio game strategy love time finish class back usual life guy obsessed think time much work already normal life however fucking becomes big problem first sex missionary thinking pas guard based learned far kill boner start thinking rolling sweaty dude position especially suck missionary favourite position starting position work better back seatbelt grip although difficult painful girl bit short deal,bjj
