,id,Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,Tranc_Year,Tranc_Month,mid_storey,lower,upper,mid,full_flat_type,address,floor_area_sqft,hdb_age,max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,postal,Latitude,Longitude,planning_area,Mall_Nearest_Distance,Mall_Within_500m,Mall_Within_1km,Mall_Within_2km,Hawker_Nearest_Distance,Hawker_Within_500m,Hawker_Within_1km,Hawker_Within_2km,hawker_food_stalls,hawker_market_stalls,mrt_nearest_distance,mrt_name,bus_interchange,mrt_interchange,mrt_latitude,mrt_longitude,bus_stop_nearest_distance,bus_stop_name,bus_stop_latitude,bus_stop_longitude,pri_sch_nearest_distance,pri_sch_name,vacancy,pri_sch_affiliation,pri_sch_latitude,pri_sch_longitude,sec_sch_nearest_dist,sec_sch_name,cutoff_point,affiliation,sec_sch_latitude,sec_sch_longitude
2,170897,2013-07,BUKIT BATOK,EXECUTIVE,289B,BT BATOK ST 25,13 TO 15,144.0,Apartment,1997,838000.0,2013,7,14,13,15,14,EXECUTIVE Apartment,"289B, BT BATOK ST 25",1550.0159999999998,24,16,1996,Y,N,N,N,N,90,0,0,0,0,30,60,0,0,0,0,0,0,651289,1.343866875,103.760535,Bukit Batok,1459.579948,,,4.0,1762.082341,,,1.0,84,95,1334.2511968565068,Bukit Batok,1,0,1.34956122,103.74997009999998,214.74785985874092,Blk 289E,1.34406411828167,103.75861329619693,498.8490387470122,Keming Primary School,39,0,1.3452450530000002,103.7562645,180.07455777683884,Yusof Ishak Secondary School,188,0,1.3423337780000002,103.7600131
17,154003,2015-12,BISHAN,5 ROOM,292,BISHAN ST 22,07 TO 09,123.0,Premium Apartment,1998,800000.0,2015,12,8,7,9,8,5 ROOM Premium Apartment,"292, BISHAN ST 22",1323.972,23,24,1996,Y,N,N,N,N,131,0,0,0,67,64,0,0,0,0,0,0,0,570292,1.356017365,103.8456681,Bishan,715.6739841,,1.0,4.0,948.5523459,,1.0,10.0,32,86,671.9584243950844,Bishan,1,1,1.350579599,103.848305,214.28477605426644,Blk 202,1.3546400282091102,103.84701632494392,159.11513490418142,Catholic High School,20,1,1.3547888769999998,103.8449341,159.11513490418142,Catholic High School,253,1,1.3547888769999998,103.8449341
18,164978,2018-03,BISHAN,5 ROOM,194,BISHAN ST 13,07 TO 09,121.0,Improved,1987,806000.0,2018,3,8,7,9,8,5 ROOM Improved,"194, BISHAN ST 13",1302.444,34,25,1986,Y,N,N,N,N,92,0,0,0,0,84,8,0,0,0,0,0,0,570194,1.348299123,103.8514194,Bishan,391.8935344,1.0,1.0,2.0,943.990286,,1.0,9.0,80,77,429.1415284533881,Bishan,1,1,1.350579599,103.848305,146.33368550991244,Opp Blk 125,1.3471159591462,103.85199575975044,345.3421797645846,Guangyang Primary School,46,0,1.346042665,103.8492848,414.5949433871357,Guangyang Secondary School,188,0,1.344673253,103.8505502
34,140756,2019-04,TOA PAYOH,5 ROOM,84B,LOR 2 TOA PAYOH,10 TO 12,122.0,Improved,1997,820000.0,2019,4,11,10,12,11,5 ROOM Improved,"84B, LOR 2 TOA PAYOH",1313.208,24,25,1995,Y,N,N,N,N,82,0,0,0,34,48,0,0,0,0,0,0,0,312084,1.335765023,103.8468026,Toa Payoh,396.6996401,1.0,2.0,6.0,347.0179654,2.0,5.0,8.0,40,108,390.4609595838747,Toa Payoh,1,0,1.332376442,103.8477238,37.23704780039689,Blk 84B,1.33547301693721,103.84663861149124,211.45754900454284,Kheng Cheng School,75,0,1.337407636,103.8477611,583.8801720932867,CHIJ Secondary,243,0,1.33246213,103.8427194
116,76397,2016-06,TOA PAYOH,5 ROOM,152,LOR 2 TOA PAYOH,16 TO 18,110.0,Improved,2006,890000.0,2016,6,17,16,18,17,5 ROOM Improved,"152, LOR 2 TOA PAYOH",1184.04,15,40,2005,Y,N,N,N,N,229,0,0,0,156,73,0,0,0,0,0,0,0,310152,1.334167085,103.8458911,Toa Payoh,255.5888049,1.0,3.0,7.0,458.2817293,1.0,4.0,8.0,40,108,284.87118543803075,Toa Payoh,1,0,1.332376442,103.8477238,143.25530216987423,Opp Toa Payoh Stn,1.33306633976898,103.84656071660623,415.9964110170831,Kheng Cheng School,75,0,1.337407636,103.8477611,400.3188138163534,CHIJ Secondary,243,0,1.33246213,103.8427194
167,153991,2019-11,BISHAN,5 ROOM,221,BISHAN ST 23,04 TO 06,121.0,Improved,1992,820000.0,2019,11,5,4,6,5,5 ROOM Improved,"221, BISHAN ST 23",1302.444,29,18,1990,Y,Y,N,N,N,95,0,0,0,45,50,0,0,0,0,0,0,0,570221,1.357841205,103.8489404,Bishan,849.8732295,,1.0,4.0,703.1991627,,2.0,8.0,32,86,810.5372583918879,Bishan,1,1,1.350579599,103.848305,218.76516681669412,OPP BLK 217,1.35615639153054,103.84995659632312,559.9429549649915,Catholic High School,20,1,1.3547888769999998,103.8449341,559.9429549649915,Catholic High School,253,1,1.3547888769999998,103.8449341
174,169321,2013-08,BUKIT MERAH,5 ROOM,122,KIM TIAN RD,13 TO 15,126.0,Improved,1995,845000.0,2013,8,14,13,15,14,5 ROOM Improved,"122, KIM TIAN RD",1356.264,26,25,1994,Y,N,N,N,N,96,0,0,0,0,96,0,0,0,0,0,0,0,160122,1.283391874,103.828894,Bukit Merah,391.4738235,1.0,1.0,6.0,418.4144051,2.0,5.0,17.0,83,259,337.7712477832405,Tiong Bahru,0,0,1.285764585,103.8269968,88.14535615054244,Blk 126 CP,1.2825992459880502,103.82890541983912,329.0175631870441,Zhangde Primary School,62,0,1.28449822,103.826149,853.1585922651454,Gan Eng Seng School,223,0,1.289071145,103.8237337
204,182091,2017-12,JURONG EAST,EXECUTIVE,286C,TOH GUAN RD,13 TO 15,143.0,Apartment,1998,780000.0,2017,12,14,13,15,14,EXECUTIVE Apartment,"286C, TOH GUAN RD",1539.252,23,21,1997,Y,N,N,N,N,113,0,0,0,0,2,111,0,0,0,0,0,0,603286,1.338945527,103.7444522,Jurong East,544.7812308,,4.0,5.0,901.7767983,,1.0,2.0,60,87,643.4757616139926,Jurong East,1,1,1.333576523,103.7422924,176.04390490452147,Blk 286A,1.33901303401774,103.7460343930108,595.530856269152,Yuhua Primary School,65,0,1.3429198180000002,103.7408611,1118.9753466769014,Bukit Batok Secondary School,223,0,1.348351215,103.7408734
225,148599,2016-12,QUEENSTOWN,5 ROOM,30,HOLLAND CL,10 TO 12,125.0,Improved,1997,908000.0,2016,12,11,10,12,11,5 ROOM Improved,"30, HOLLAND CL",1345.5,24,28,1995,Y,N,N,N,N,102,0,0,0,48,54,0,0,0,0,0,0,0,270030,1.307747891,103.7966272,Queenstown,417.1491965,1.0,3.0,3.0,317.3475198,3.0,6.0,8.0,39,63,390.34067563599183,Holland Village,0,0,1.311223565,103.7961344,226.5329748917359,Holland V Stn/Blk12,1.30906722197973,103.79507444402137,957.3223645090476,New Town Primary School,82,0,1.299811388,103.7999648,987.398137162975,Queensway Secondary School,214,0,1.300475167,103.8017236
232,52769,2019-10,BUKIT MERAH,4 ROOM,54,HAVELOCK RD,34 TO 36,89.0,Model A,2013,825000.0,2019,10,35,34,36,35,4 ROOM Model A,"54, HAVELOCK RD",957.996,8,36,2011,Y,N,N,N,N,175,0,0,70,105,0,0,0,0,0,0,0,0,161054,1.289308932,103.8292333,Bukit Merah,389.599339,1.0,2.0,27.0,149.1920533,3.0,5.0,15.0,30,0,465.98240285622654,Tiong Bahru,0,0,1.285764585,103.8269968,158.08844521464476,Blk 79,1.2906068883948798,103.82865297447871,628.5893850936917,Alexandra Primary School,54,0,1.291299035,103.8239408,611.9443117529506,Gan Eng Seng School,223,0,1.289071145,103.8237337
