id,Predicted Value
88471,608960.0
153632,318100.0
162311,499950.0
84379,333040.0
184364,697790.0
108393,485990.0
113435,543690.0
140756,672920.0
56979,287710.0
153598,403590.0
113160,432020.0
156308,464680.0
27619,466440.0
127154,469210.0
82411,528520.0
10541,307010.0
23676,361570.0
172917,689190.0
128741,511210.0
16983,311850.0
98139,354420.0
169478,670710.0
133895,502790.0
100006,431600.0
77912,411640.0
2937,219150.0
14301,374220.0
176473,630640.0
156373,550120.0
31839,331600.0
6350,338660.0
76397,773460.0
172099,430240.0
23875,294110.0
169882,483250.0
15502,274530.0
125708,431910.0
44480,366430.0
73473,481660.0
27106,275920.0
151946,396780.0
181587,523740.0
148419,542210.0
42560,298950.0
138023,357440.0
165192,588290.0
155694,504530.0
83058,417280.0
47813,397610.0
180140,720950.0
123653,456350.0
9772,465080.0
177862,558030.0
136650,552700.0
48449,380170.0
52278,293630.0
110498,382340.0
135740,430800.0
3649,548340.0
81274,409040.0
155314,409070.0
38971,318290.0
17347,324210.0
180822,602410.0
184003,697420.0
152171,365690.0
174217,575390.0
150413,532300.0
125724,451880.0
160151,637120.0
77458,479750.0
33992,415560.0
18582,394900.0
168018,586310.0
159365,534160.0
130549,319210.0
150382,474960.0
97750,397170.0
31688,391430.0
131481,462250.0
104379,601060.0
42138,363270.0
65797,378680.0
115845,482970.0
175601,529220.0
104247,374840.0
61965,344560.0
34124,878300.0
113582,445830.0
146566,519330.0
135949,432430.0
63677,355920.0
168133,490150.0
103492,481350.0
146752,483310.0
146221,566020.0
7419,320500.0
105653,401630.0
18662,284500.0
36070,299820.0
33154,275230.0
152016,454360.0
115605,448140.0
150648,470810.0
17229,289290.0
81099,366510.0
181624,625780.0
28877,322460.0
135781,490480.0
6694,317950.0
127254,504590.0
20831,295640.0
12624,249960.0
137218,434230.0
10069,316640.0
126073,569500.0
141640,360220.0
166178,439040.0
63155,484130.0
165816,430420.0
86168,434150.0
47251,282120.0
161486,667990.0
55392,311990.0
95776,426990.0
103381,486870.0
69879,687490.0
139976,484980.0
158332,417940.0
119040,526790.0
30955,306230.0
171956,536310.0
164721,525640.0
55672,426280.0
115153,369030.0
114880,504080.0
168415,418850.0
15688,261850.0
138185,434550.0
24537,364370.0
45860,425750.0
39013,299150.0
124726,448630.0
52060,283030.0
118206,625120.0
87500,558460.0
15191,239740.0
64014,521810.0
41792,363860.0
24337,268620.0
77843,527790.0
98686,328040.0
83464,488820.0
53386,297530.0
33699,397830.0
179099,684910.0
6365,284100.0
174212,593550.0
46361,354160.0
182517,649730.0
65110,405140.0
180683,576530.0
11768,299570.0
149210,467420.0
53909,219090.0
144104,388130.0
104344,517560.0
24480,310830.0
24424,447620.0
66336,723340.0
173872,606810.0
53032,407760.0
67786,670620.0
85614,505940.0
170346,566170.0
118852,366920.0
30246,285720.0
100779,417190.0
162172,521980.0
106520,480990.0
1740,266380.0
163041,581150.0
93511,366460.0
118932,401390.0
894,246380.0
165409,443050.0
4272,316200.0
147257,484110.0
119288,606180.0
114522,340250.0
183442,567990.0
135661,388610.0
139452,386110.0
100559,406100.0
61820,915960.0
97363,422320.0
77799,407800.0
122905,950900.0
177027,676600.0
169618,634620.0
168508,530100.0
152079,477320.0
18524,258990.0
18783,335070.0
7488,289430.0
20049,387100.0
105586,484580.0
182167,521670.0
92773,638700.0
132798,430290.0
13541,426120.0
121322,382920.0
55921,274910.0
146870,423290.0
90022,358980.0
154615,446480.0
10851,286190.0
133604,424210.0
130065,445470.0
34163,647970.0
87004,358520.0
103482,415430.0
47376,414790.0
50169,253950.0
46571,363070.0
94276,436420.0
14360,307580.0
107373,560470.0
31478,302030.0
40192,301110.0
42116,414360.0
48642,342470.0
51284,281720.0
164690,484830.0
1378,366860.0
49691,380240.0
25034,312990.0
90685,467020.0
166441,575200.0
125381,411860.0
11064,298820.0
149254,624480.0
150191,358620.0
159467,522730.0
152988,484630.0
150547,372440.0
168208,574440.0
106161,446520.0
57332,392650.0
106920,352370.0
51164,352380.0
63052,499620.0
48295,509180.0
153640,429470.0
105796,638640.0
102106,368420.0
29656,292660.0
19472,356520.0
117137,417930.0
175286,553730.0
161859,548330.0
53171,493060.0
158456,414930.0
153363,419150.0
175616,489390.0
111935,371840.0
142229,405260.0
97863,435430.0
63987,518130.0
66879,320410.0
118184,723410.0
16782,364810.0
162698,370210.0
2138,248920.0
81543,384260.0
111767,631660.0
93622,391130.0
149689,424700.0
65060,373520.0
62334,369580.0
183163,685430.0
5615,294780.0
171955,484960.0
184452,660320.0
2638,306050.0
84997,490420.0
56189,414340.0
51285,277120.0
94292,561500.0
181079,647710.0
22674,234700.0
78356,549040.0
114288,534130.0
71618,385880.0
5335,306310.0
86451,833690.0
32864,352100.0
99242,325080.0
50721,365500.0
148137,606930.0
184792,597410.0
150843,479540.0
69726,432370.0
185536,562170.0
12742,345330.0
166209,513710.0
119297,564030.0
79150,377280.0
158112,606980.0
61189,503000.0
74822,347120.0
100613,566050.0
96068,403830.0
102678,427100.0
153511,586080.0
116336,512860.0
98439,344120.0
70766,867530.0
52457,362990.0
99591,496740.0
138857,565630.0
130324,358290.0
97418,448060.0
23108,327890.0
176062,600700.0
108617,367730.0
172493,565510.0
46136,349900.0
439,271580.0
23590,315940.0
103636,464500.0
1187,230540.0
16635,386080.0
24571,379670.0
22404,361020.0
131831,437630.0
181825,603460.0
82767,396170.0
90164,588360.0
65590,434190.0
41970,321970.0
152264,463400.0
153160,450170.0
90513,378290.0
87764,561210.0
114546,286590.0
20363,242860.0
84376,338570.0
33892,424980.0
2824,211730.0
10864,281030.0
82422,479050.0
182577,594290.0
16083,294400.0
127289,442220.0
171920,790080.0
95076,544410.0
95426,545890.0
182383,606980.0
18107,294040.0
97512,452060.0
85756,424170.0
130527,290990.0
13452,349820.0
126581,491490.0
17207,279790.0
90527,419170.0
132264,462240.0
102260,367050.0
13948,441520.0
108322,572480.0
81815,419010.0
112800,510870.0
25553,348800.0
1175,232830.0
118143,439520.0
51457,227090.0
141456,466240.0
111930,370550.0
86670,448590.0
112223,451740.0
27559,279900.0
51177,316970.0
162459,779790.0
178163,745420.0
105285,364000.0
27374,273710.0
84472,331470.0
146002,1243880.0
149636,449500.0
167338,449150.0
4751,277070.0
176195,745100.0
183369,499490.0
130621,408630.0
133191,421360.0
99927,638770.0
4131,245500.0
45484,291710.0
6905,398450.0
52797,262550.0
176385,559130.0
49398,236790.0
124085,897870.0
57764,269200.0
107186,440070.0
116877,523000.0
15406,278240.0
9992,586130.0
164872,400310.0
122320,614100.0
179281,564180.0
80197,451930.0
19796,260630.0
62974,360230.0
104836,448320.0
52999,308890.0
54652,329410.0
134679,509450.0
56423,367490.0
118644,419410.0
123229,345880.0
85910,547330.0
130216,469110.0
178820,745560.0
977,284720.0
76240,360190.0
111539,383240.0
98708,321550.0
183450,601290.0
135752,496780.0
158359,409060.0
174163,698740.0
87597,402200.0
111199,356610.0
107207,407220.0
7597,328370.0
156489,502700.0
143076,487990.0
25375,389590.0
78393,481320.0
128728,501560.0
136550,460510.0
182917,659910.0
141703,476460.0
158820,565900.0
163083,592310.0
31389,272360.0
127557,352280.0
34733,443060.0
112975,451430.0
130603,403810.0
68882,418080.0
131727,521870.0
178776,709270.0
120694,556620.0
172351,469850.0
75879,410930.0
72853,602520.0
119354,350310.0
28142,386190.0
178527,615910.0
40610,315870.0
99536,341910.0
8102,288500.0
1349,193230.0
113488,362220.0
175551,550470.0
47735,319550.0
97875,515490.0
166257,435370.0
149189,503540.0
100418,914810.0
152370,462930.0
150777,416870.0
85442,424520.0
5366,274230.0
136386,482520.0
174524,693510.0
16359,342600.0
102910,783400.0
77705,319970.0
12421,302460.0
21028,463800.0
143857,399110.0
78878,519510.0
28990,319530.0
121719,576010.0
133172,570910.0
162576,424370.0
130168,484900.0
131557,716700.0
134594,330150.0
161691,1217590.0
16595,362300.0
106372,382990.0
179470,556330.0
133862,624730.0
53162,530720.0
59891,280900.0
28408,763730.0
105581,558280.0
19106,390760.0
56633,344130.0
175891,539420.0
47674,462880.0
101063,421990.0
153737,418190.0
81823,453350.0
69529,444610.0
70889,319180.0
39345,313340.0
105009,446340.0
81206,405920.0
183883,543520.0
17348,332180.0
33977,380940.0
20547,250760.0
77541,299190.0
147110,395920.0
44943,408290.0
146418,505670.0
137887,523350.0
134267,377670.0
36476,284780.0
43611,325260.0
20014,380200.0
180201,633350.0
120348,496180.0
182686,497610.0
24484,305990.0
142497,487310.0
184772,1025550.0
105923,484340.0
168079,475210.0
146162,364240.0
155084,562550.0
141244,368860.0
164933,508790.0
177343,658620.0
172260,580750.0
155356,547040.0
153186,522560.0
116994,498370.0
9137,398840.0
32060,250480.0
129500,485490.0
170557,732470.0
153549,811000.0
17699,285930.0
165709,663980.0
47438,361510.0
168416,418710.0
174742,533420.0
116810,449020.0
87302,438790.0
161536,568490.0
48341,406520.0
182452,569240.0
57236,651080.0
111289,452980.0
163244,486300.0
24209,387840.0
114221,451560.0
98460,392900.0
86317,577810.0
170747,395680.0
101001,423590.0
160813,435590.0
185136,727100.0
37127,357980.0
156089,712980.0
137236,496850.0
30471,321230.0
128183,403170.0
103123,418470.0
2485,441440.0
185102,549270.0
96674,705000.0
75154,416320.0
59859,351620.0
115803,379970.0
55747,329570.0
101393,490010.0
159996,452880.0
159775,590730.0
158602,628020.0
110090,505680.0
88190,376450.0
102674,395030.0
82452,624150.0
96585,650000.0
91718,380640.0
129272,447530.0
30579,373960.0
8871,315270.0
13422,386340.0
119041,595980.0
91166,704090.0
133255,464020.0
23300,314460.0
94190,453400.0
161386,432420.0
102797,473180.0
32803,280690.0
13017,313720.0
49082,306960.0
172908,591790.0
96391,510580.0
87986,341790.0
116760,394380.0
209,340780.0
143951,508170.0
80279,407990.0
34902,294850.0
78088,637770.0
136938,470330.0
39838,398210.0
148388,497650.0
109200,608280.0
112894,496760.0
133626,457320.0
136182,784950.0
129998,529630.0
74337,384520.0
79994,540140.0
150463,334480.0
123328,477360.0
120511,399870.0
14050,320720.0
131598,457790.0
175499,570940.0
150807,385510.0
117062,446270.0
97620,479520.0
58802,380060.0
155150,443330.0
180808,543010.0
69435,358790.0
8872,300680.0
24562,376430.0
3793,435330.0
91481,404790.0
4583,236180.0
182361,579050.0
140290,455250.0
39292,321790.0
107115,427950.0
94315,739960.0
26287,249810.0
112002,372470.0
131841,489470.0
80674,366450.0
117133,363970.0
150332,422170.0
70767,873510.0
180543,457700.0
41315,289030.0
54516,275270.0
24674,278540.0
115999,542450.0
90950,389250.0
30714,324810.0
77381,332950.0
11968,230830.0
90254,618910.0
4562,235880.0
8416,354290.0
9146,283640.0
6046,292340.0
139406,429560.0
17631,305780.0
3457,358650.0
52732,765730.0
58834,299130.0
172486,575100.0
113426,463170.0
52366,290190.0
54664,292320.0
4553,280390.0
68021,557080.0
122273,405250.0
70027,793530.0
88575,370680.0
125143,313740.0
37635,460320.0
48016,243660.0
8683,304950.0
65046,313840.0
43652,320500.0
137580,552680.0
121027,404870.0
154176,657440.0
925,285560.0
127259,486790.0
185886,555030.0
96624,686700.0
69018,392610.0
158351,453650.0
34748,290250.0
27890,314670.0
181923,668020.0
21056,404150.0
134905,420540.0
2803,420680.0
161572,445360.0
37804,423920.0
30885,334560.0
129301,420610.0
41529,350530.0
13088,360290.0
155665,411170.0
138214,476040.0
17410,354100.0
41987,425950.0
131262,527390.0
160318,544800.0
98380,328980.0
78972,724710.0
45028,344230.0
38299,304580.0
147189,398600.0
55450,1122910.0
63972,652460.0
63954,402340.0
113218,494440.0
119911,676150.0
29669,252720.0
49170,401350.0
25614,365760.0
148272,455430.0
49868,241930.0
162006,559540.0
17548,325620.0
71955,553010.0
7971,263600.0
53305,509330.0
111936,385830.0
21592,422030.0
104093,482760.0
158916,463820.0
168188,523250.0
3637,403210.0
157821,554120.0
106083,315660.0
9723,360200.0
43275,415700.0
89722,442940.0
11606,339410.0
146824,975080.0
134448,363720.0
95282,353880.0
85089,424520.0
135143,339670.0
172678,529090.0
113954,354380.0
127785,451910.0
166348,619150.0
165302,556480.0
134698,466290.0
9677,375330.0
70974,428780.0
10354,316770.0
159678,537740.0
46201,289140.0
127171,547340.0
54422,284670.0
91446,390590.0
